Go.	ទៅ។
He won't be able to escape from there without a miracle, will he?	គាត់មិនអាចគេចពីទីនោះបានទេ លុះត្រាតែមានអព្ភូតហេតុ មែនទេ?
In 1971 the United Kingdom changed its currency to the decimal system.	នៅឆ្នាំ ១៩៧១ ចក្រភពអង់គ្លេសបានផ្លាស់ប្តូររូបិយប័ណ្ណរបស់គេទៅក្នុងប្រព័ន្ធទសភាគ ។
Robam kbach boran, or the art of Khmer classical dance, is more than 1,000 years old. It was developed as a prayer in movement for rain and fertility, and a prosperity that this meant for an agricultural society. Dancers who were both men and women were offered to temples where they served as living bridges between heaven and earth. Their dancing bodies carried the prayers of the people up to the gods, and the will of the deities was delivered back through them to the people and the lannd.	របាំក្បាច់បុរាណ ឬសិល្បៈនៃរបាំខ្មែរបុរាណ មានអាយុកាលជាង១០០០ឆ្នាំមកហើយ។ របាំនេះបង្កើតឡើងជារបាំសម្ដែងដើម្បីបន់ស្រន់ សម្រាប់សុំទឹកភ្លៀង និងជីជាតិ ព្រមទាំងភាពរុងរឿង ចំពោះវិស័យកសិកម្ម។ អ្នករបាំទាំងប្រុសទាំងស្រី បានបូជាថ្វាយដល់ប្រាង្គប្រាសាទ ដែលជាកន្លែងពួកគេជឿថាជាស្ពានរវាង ឋានសួគ៌ និងឋានមនុស្សលោក។ រាងកាយរាំរបស់ពួកគេពាំនាំយក ពាក្យបន់ស្រន់របស់មនុស្សទៅកាន់ទេវតា និងការប្រទាន់ពរពីទេវតា បានបញ្ជូនមកតាមពួកគេ មកកាន់ប្រជារាស្រ្ត និងដែនដីរបស់ពួកគេ។ ក្បាច់ពត់រាំនៅក្នុងរបាំខ្មែរ មានច្រើនបែបណាស់។
As you can see then, Khmer classical dance is a transformation of nature, of both the physical world around us and of our own internal universe. We have four primary hand gestures that we use. Can we do them together? Yeah? OK.	ទាំងរបស់ដែលមានរូបរាងជុំវិញយើង និងវិញ្ញាណដែលនៅខាងក្នុងខ្លួនរបស់យើង ។ យើងមានកាយវិការដៃ៤សំខាន់ៗ ដែលយើងប្រើ។ តើយើងអាចធ្វើតាមទាំងអស់គ្នាបានទេ? បាន? ល្អ នេះគឺជាដើមឈើ។ ដើមឈើនេះនឹងដុះឡើង
This is a tree. That tree will grow, and then it will have leaves. After it has leaves, it'll have flowers, and after it has flowers, it'll have fruit. That fruit will drop and a new tree will grow. And in those four gestures is the cycle of life.	ហើយវានឹងមានស្លឹកជាច្រើន បន្ទាប់ពីមានស្លឹកហើយ វានឹងចេញជាផ្កា បន្ទាប់ពីចេញផ្កា វានឹងបង្កើតជាផ្លែ។ ផ្លែនោះនឹងទុំជ្រុះ ហើយដើមឈើថ្មីនឹងដុះឡើង។ នៅក្នុងកាយវិការដៃទាំង៤នោះ តំណាងឲ្យដំណើរវិវត្ដន៍នៃជីវិត ។ កាយវិការដៃទាំង៤ នេះត្រូវបានប្រើ ដើម្បីបង្កើតភាសាថ្មីស្រឡះមួយសម្រាប់ អ្នករបាំក្នុងការបញ្ចេញពីអារម្មណ៍ពួកគេ។
These four gestures are then used to create a whole entire language with which dancers express themselves. So for example, I can say, "I." "I." In dance that would be ... "I." Or I can say ... "Hey you, come here, come here." In dance ... "Come here," or, "Go, go.	"ឧទាហរណ៍ ខ្ញុំអាចនិយាយថា "ខ្ញុំ" "ខ្ញុំ"។ ក្នុងរបាំវាទៅជា... "ខ្ញុំ" ឬខ្ញុំអាចនិយាយថា... "នែ! លោក អញ្ជើញមកនេះ មកនេះ"។ ក្នុងរបាំ ... "មកនេះ" ឬ,"ចេញទៅ ទៅ!" (សម្លេងសើច) "ទៅ"។
"Go." And everything from ... love ... to sadness,--	សេចក្ដីស្រលាញ់ ... ទៅជាទុក្ខសោក ទៅ -- (ទម្លាក់ជើងខ្លាំង) កំហឹង
anger can be expressed through the dance as well.	គេមានសិល្បៈសិល្ប៍ជាក់លាក់មួយ ដែលគ្រប់របស់ដែលត្រូវបានច្រោះ ផ្លាស់ប្ដូរ ​និងដាក់បញ្ចូលគ្នា
There's a certain magic in the way that things are filtered, transformed and put together to create limitless possibilities in art. The Khmer word for art, silapak, in fact, at its root, means "magic." The artist -- the silapakar, or the silapakarani, then, is nothing short of a magician. I am very proud to say that I belong to a long line of magicians, from my teacher, Sophiline Cheam Shapiro, to her teachers who were stars in the royal palace, to the ancient dancers of Angkor and to the primal villagers from which the art form originally took life.	ដើម្បីបង្កើតសមត្ថភាពដ៏អស្ចារ្យ គ្មានដែនកំណត់ក្នុងសិល្ប:។ ពាក្យខ្មែរសសម្រាប់សិល្ប:គឺ សិល្បៈ តាមការពិត ឫសគល់នៃពាក្យនេះគឺ មានន័យថា"សិល្ប៍"។ អ្នកសិល្បៈ -- សិល្បករ ឬសិល្បការិនី កាលពីមុន គឺពោរពេញដោយសិល្សសាសន៍ (អ្នកចេះសិល្ប៍)។ ខ្ញុំពិតជាមានមោទនភាពណាស់ក្នុងការនិយាយថា ខ្ញុំជាខ្សែស្រឡាយដ៏វែងនៃអ្នកចេះសិល្ប៏សាសន៍ តាំងពីអ្នកគ្រូរបស់ខ្ញុំ គឺ សូភីលីន ឈៀម សាភីរ៉ូ រហូតដល់គ្រូរបស់គាត់ទៀត ដែលគាត់ជាអតីតតារាសម្ដែងនៅឯព្រះរាជវាំង ទៅដល់អ្នករបាំបុរាណកាលពីសម័យអង្គរ និងរហូតដល់អ្នកភូមិដំបូង ដែលជាដើមកំណើតនៃសិល្បៈ។
That said, our cherished heritage was once almost completely destroyed. If you are wearing glasses, please stand up. If you speak more than one language, please stand up. If you have light skin, please stand up. Your glasses meant that you could afford health care. That second or third language you spoke indicated your elite education. Your light skin meant you didn't have to work beneath the sun. Under the Khmer Rouge, who took over Cambodia from 1975 to 1979, we would all be dead now, targeted because of our assumed privilege. You see, the Khmer Rouge looked to Cambodia, and they saw centuries of rigid inequality. The king and the few elites around him had all the pleasures and comforts of the world while the mass majority suffered from backbreaking labor and harsh poverty. You don't need a history book to see that this is true.	យ៉ាងណាមិញ កេរ្ដ៍ដំណែលរបស់យើងជិតនឹងត្រូវបាន បំផ្លាញទាំងស្រុង។ ប្រសិនបើមានអ្នកណាពាក់វ៉ែនតា សូមមេត្តាក្រោកឈរឡើង។ ប្រសិនបើអ្នកចេះនិយាយ លើសពីមួយភាសា សូមមេត្តាក្រោកឈរឡើង។ ប្រសិនបើអ្នកមានសម្បុរស សូមមេត្តាក្រោកឈរឡើង។ វ៉ែនតារបស់អ្នកបញ្ជាក់ថា អ្នកអាចមាន លទ្ធភាពបង់ថ្លៃសេវាពិនិត្យសុខភាព។ ភាសាទី២ ឬទី៣ដែលអ្នកអាចនិយាយបាន បង្ហាញពីការសិក្សាដ៏ខ្ពង់ខ្ពស់របស់អ្នក។ សម្បុរសរបស់អ្នកមានន័យថា អ្នកមិនចាំបាច់ធ្វើការក្រោមពន្លឺថ្ងែនោះឡើយ។ នៅក្រោមរបបខ្មែរក្រហម ដែលបានកាន់កាប់ប្រទេសកម្ពុជា ពីឆ្នាំ ១៩៧៥ ដល់ ១៩៧៩ បើគិតទៅ​ ពួកយើងអាចនឹងស្លាប់បាត់ទៅហើយ ព្រោះយើងជាមុខសញ្ញារបស់គេ ដោយសារតែអភ័យឯកសិទ្ធិរបស់យើង។ ដូចដែលឃើញហើយ ពួកខ្មែរក្រហមមើលមកប្រទេសកម្ពុជា ហើយពួកគេបានមើលឃើញភាពមិនស្មើគ្នា កើតមានជាច្រើនសតវត្ស។ ស្តេច និងពួកឥស្សរជននៅជុំវិញគាត់ មានភាពសប្បាយរីករាយ និងការសោយសុខក្នុងជីវិតរបស់ពួកគេ ខណៈពេលដែលប្រជាជនជាច្រើន ទទួលរងទុក្ខពីការធ្វើពលកម្មឥតឈប់ឈរ និងភាពក្រីក្រ ទុរភឹក្សអត់ឃ្លាន។ អ្នកមិនចាំបាច់អានសៀវភៅប្រវត្តិសាស្រ្ត ដើម្បីយល់ដឹងពីការពិតនោះទេ។
The Khmer word for "I," for "me," is khnhom. This very same word can also mean "slave" and dancers were in fact known as knhom preah robam, or "slaves of the sacred dance." The Khmer Rouge sought to end slavery in Cambodia, yet somehow they turned everyone into slaves to do it. They became the oppression that they sought to end. They evacuated the capital and forced people into labor camps. They tore families apart and brainwashed children against their own parents. Everywhere, people were dying and being killed, losing their lives from disease, overwork, execution and starvation. The result of this is that an entire third of Cambodia's population was lost in less than four years, and in that number were 90 percent of Khmer dance artists. In other words, nine out of 10 visions for the tradition and future were lost.	ពាក្យខ្មែរសម្រាប់ "I" សម្រាប់ "me" គឺខ្ញុំ។ ហើយពាក្យនេះក៏អាចមានន័យថា "ទាសករ" បានដែរ ហើយអ្នករបាំត្រូវបានគេហៅថា ជាខ្ញុំព្រះរបាំ ឬ "ទាសករនៃរបាំអស្ចារ្យ"។ ខ្មែរក្រហមបានព្យាយាមលប់បំបាត់ ភាពជាទាសករនៅប្រទេសកម្ពុជា ផ្ទុយទៅវិញ ពួកគេធ្វើឲ្យប្រជាជនទាំងអស់ ក្លាយទៅជាទាសករដើម្បីបំបាត់ទាសភាព។ ពួកគេក្លាយជាអ្នកជិះជាន់ប្រជារាស្រ្ដ ពេលដែលពួកគេចង់លប់បំបាត់ទាសភាពទៅវិញ។ ពួកគេជម្លៀសប្រជាជនចេញពីរាជធានី(ភ្នំពេញ) និងបង្ខំមនុស្សឱ្យទៅជំរំពលករ។ ពួកគេបំបែកបំបាក់គ្រួសារជាច្រើន និងបណ្ដុះផ្នត់គំនិតកុមារឲ្យ ប្រឆាំងនឹងឪពុកម្តាយរបស់ពួកគេ។ គ្រប់ទីកន្លែងទាំងអស់ ប្រជាជនស្លាប់ និងត្រូវបានគេសម្លាប់ បាត់បង់ជីវិតដោយសារជម្ងឺ ធ្វើការលើសកម្លាំង ការសម្លាប់(ប្រហារជីវិត) និងភាពអត់ឃ្លាន។ លទ្ធផលនៃសកម្មភាពទាំងនេះគឺ ប្រជាជនមួយភាគបីត្រូវបានបាត់បង់ជីវិត ត្រឹមតែរយៈពេលតិចជាង ៤ឆ្នាំប៉ុណ្ណោះ ហើយក្នុងនោះ ៩០ ភាគរយ គឺជាសិល្បកររបាំខ្មែរ។ មានន័យថា ៩ ភាគ ១០ នៃទស្សនៈវិស័យសម្រាប់ប្រពៃណី និងអនាគត ត្រូវបានបាត់បង់។
Thankfully, however, it was my teacher's teachers, Chea Samy, Soth Sam On and Chheng Phon, who would lead the revival of the art form from the ashes of war and genocide: one student, one gesture, one dance at a time. They wrote the love, magic, beauty, history and philosophy of our lineage into the bodies of the next generation.	ប៉ុន្ដែ ជាភ័ព្វសំណាងល្អ គ្រូរបស់គ្រូរបស់ខ្ញុំ ជា សាមី  សុត សំអុន និង ឆេង ភុន ដែលបានដឹកនាំ និងចងក្រង វិស័យសិល្បៈឲ្យមានជីវិតសារជាថ្មី ពីផេះនៃសង្គ្រាម និងរបបប្រល័យពូជសាសន៍ ចាប់ផ្ដើមពី សិស្សម្នាក់ កាយវិការមួយ ក្បាច់រាំម្ដងមួយៗ ។ ពួកគេបានសរសេរពីសេចក្តីស្រឡាញ់ សិល្ប៏សាសន៍ សម្រស់ ប្រវត្តិសាស្រ្ត និងទស្សនវិជ្ជា នៃពូជពង្សវង្សត្រកូលរបស់យើង ចូលទៅក្នុងខ្លួនអ្នកជំនាន់ក្រោយ។
Nearly 40 years later, Khmer classical dance has been revived to new heights. Yet somehow it still exists in a vulnerable environment. The disastrous effects of war still haunt Khmer people today. It is written in our bodies, manifested in a genetic passage of PTSD and in families facing cyclical poverty and immense cultural rifts and language barriers.	រយៈ ៤០ ឆ្នាំក្រោយមក របាំបុរាណខ្មែរត្រូវបានរស់រានមានជីវិតឡើងវិញ ទៅកាន់កម្រិតមួយថ្មី ។ ប៉ុន្ដែ របាំបុរាណនៅតែស្ថិតក្នុង មជ្ឈដ្ឋានគ្រោះថ្នាក់ដដែល ។ មហន្តរាយនៃសង្គ្រាមនៅតែដិតដាមក្នុង ចិត្តប្រជាជនខ្មែររហូតដល់សព្វថ្ងៃនេះ។ វាត្រូវបានចារជាប់នៅក្នុងរាងកាយរបស់យើង បង្ហាញតាមការចម្លងហ្សែននៃ PTSD (ជំងឺស្ត្រេសក្រោយទុក្ខវេទនា) និងក្នុងគ្រួសារដែលប្រឈមនឹង ភាពក្រីក្រដ៏យូរអង្វែង និងវប្បធម៌ដែលបែកបាក់យ៉ាងសម្បើម ព្រមទាំងឧបសគ្គភាសាផងដែរនោះ។
Yet beauty is a most resilient thing. Beauty has this ability to grow anywhere and everywhere at any time. Beauty is what connects people through time and place. Beauty is a liberation from suffering. As Khmer artists work to revive our culture and country, we find that there are many paths in which to move forward into the future. And in a tradition where we often don't know the dancer's names, who they were, what their lives were like, what they felt, let me propose that we move forward honestly and openly from "khnhom." Khnhom not as in slave, but as in conscious service. Khnhom: "I," "me," "flowering.	"ប៉ុន្ដែភាពស្រស់ស្អាតគឺជាភាពរឹងមាំបំផុត។ ភាពស្រស់ស្អាតមានសមត្ថភាព ក្នុងការដុះលូតលាស់គ្រប់ទីកន្លែង នៅគ្រប់ពេលវេលា។ ភាពស្រស់ស្អាត គឺជាអ្វីដែលផ្សារភ្ជាប់មនុស្ស ទៅនឹងពេលវេលា និងទីកន្លែង។ ភាពស្រស់ស្អាត គឺជាការរំដោះពីភាពរងទុក្ខ។ នៅពេលសិល្បករខ្មែរព្យាយាមស្តារ ឡើងវិញនូវវប្បធម៌ និងប្រទេសរបស់យើង យើងរកឃើញថា មានផ្លូវជាច្រើន ដើម្បីឈានទៅរកអនាគត។ ហើយក្នុងប្រពៃណីមួយដែលយើង មិនបានស្គាល់ឈ្មោះអ្នករបាំផង ថាពួកគេជានរណា ថាតើជីវិតរបស់ពួកគេមានទិដ្ធភាពយ៉ាងណា ថាតើពួកគេមានអារម្មណ៍ដូចម្តេច ខ្ញុំនឹងបង្ហាញថា យើងឈានទៅមុខដោយស្មោះត្រង់ និងដោយបើកចំហចេញពីពាក្យ "ខ្ញុំ" ។ ខ្ញុំ មិនមែនមានន័យថា ជាទាសករទេ ប៉ុន្ដែជាអ្នកបម្រើប្រកបដោយស្មារតីរឹងមាំ ខ្ញុំ "I" "me" "ចេញផ្កា" ។
My name is Prumsodun Ok. I am Khmer, and I am American. I am the child of refugees, a creator, a healer, and a builder of bridges. I am my teacher's first male student in a tradition understood by many as female, and I founded Cambodia's first gay dance company. I am the incarnation of the beauty, dreams and power of those who came before me. The convergence of past, present and future, and of individual and collective.	ខ្ញុំមានឈ្មោះថា ឱក ព្រហ្មសុដន្ដ ខ្ញុំជាជនជាតិខ្មែរ ហើយខ្ញុំជាជនជាតិអាមេរិក។ ខ្ញុំជាកូនរបស់ជនភៀសខ្លួន ជាអ្នកបង្កើត ជាអ្នកព្យាបាល និង អ្នកសាងសង់ស្ពាន។ ខ្ញុំជាសិស្សប្រុសដំបូងរបស់គ្រូខ្ញុំ នៅក្នុងប្រពៃណីមួយដែលគេ ស្គាល់ថា មានតែមនុស្សស្រីតែប៉ុណ្ណោះ ហើយខ្ញុំបានបង្កើតនូវក្រុមរាំរបាំភេទទីបី របស់កម្ពុជា។ ខ្ញុំតំណាងឲ្យ ភាតរភាពនៃភាពស្រស់ស្អាត, ក្តីសុបិន្ត និង អំណាច ដល់អ្នកដែលនៅចំពោះមុខខ្ញុំ។ ភាពរួមគ្នានៃអតីតកាល បច្ចុប្បន្ន និងអនាគត និងភាពរួមគ្នានៃបុគ្គល និងសមូហភាព។ ខ្ញុំសូមបង្ហាញនូវតួនាទីដ៏មានវ័យចំណាស់
Let me then play that ancient and ageless role of the artist as messenger, by sharing the words of Chheng Phon "A garden with only one type of flower, or flowers of only one color, is no good." This is a reminder that our strength, growth, survival and very existence, lies in diversity. It is, however, a message of courage as well. For a flower does not ask for anyone's permission to bloom. It was born to offer itself to the world. Fearless love is its nature.	របស់សិល្បករជាសារ តាមរយៈពាក្យពេចន៍របស់ ឆេង ភុន "សួនច្បារដែលមានតែផ្កាមួយប្រភេទ ឬផ្កាមានតែមួយពណ៌ គឺមិនល្អទេ "។ នេះគឺជាការរំលឹកមួយដល់កម្លាំងរបស់យើង ការលូតលាស់ ការរស់រានមានជីវិត និងអត្ថិភាព(ភាពម្ចាស់ដើម) ស្ថិតនៅក្នុងភាពចម្រុះជាច្រើន ហើយ វាគឺ ជាសារនៃភាពក្លាហានផងដែរ។ ព្រោះផ្កាមិនចាំបាច់សុំការអនុញ្ញាតពី នរណាម្នាក់ដើម្បីរីកនោះទេ។ វាបានកើតមកដើម្បីថ្វាយខ្លួន ដល់ពិភពលោកទាំងមូល។ សេចក្ដីស្រឡាញ់ដែលឥតខ្លាចក្រែង គឺធម្មជាតិរបស់វា។ សូមអរគុណ។
For over a decade, I have studied young people that have been pushed out of school, so called "dropouts." As they end up failed by the education system, they're on the streets where they're vulnerable to violence, police harassment, police brutality and incarceration. I follow these young people for years at a time, across institutional settings, to try to understand what some of us call the "school-to-prison pipeline."		ជាងមួយទស្សវត្សកន្លងមកហើយ ខ្ញុំបានសិក្សាពីក្មេងៗត្រូវគេបណ្តេញចេញពីសាលា ឬហៅថាក្មេងបោះបង់ការសិក្សា ទីបំផុតពួកគេបរាជ័យដោយសារប្រព័ន្ធអប់រំ ក្លាយជាក្មេងតាមចិញ្ចើមផ្លូវ រងអំពើហឹង្សា ការបំពានពីប៉ូលីស ការធ្វើបាបយ៉ាងឃោរឃៅ និងការចាប់ដាក់គុក ខ្ញុំតាមដានក្មេងទាំងនេះជាច្រើនឆ្នាំ នៅតាមស្ថាប័នពាក់ព័ន្ធនានា ដើម្បីស្វែងយល់ពីអ្វីដែលយើងហៅថា “រុញចេញពីសាលា ចូលគុក”
When you look at a picture like this, of young people who are in my study ... you might see trouble. I mean one of the boys has a bottle of liquor in his hand, he's 14 years old and it's a school day. Other people, when they see this picture, might see gangs, thugs, delinquents -- criminals. But I see it different. I see these young people through a perspective that looks at the assets that they bring to the education system. So will you join me in changing the way we label young people from "at-risk" to "at-promise?"	ពេលអ្នកមើលឃើញទិដ្ឋភាពបែបនេះ របស់ក្មេងៗក្នុងការស្រាវជ្រាវរបស់ខ្ញុំ អ្នកអាចនឹងឃើញបញ្ហា ក្មេងប្រុសម្នាក់​មានកាន់ដបស្រាក្នុងដៃ គាត់អាយុប្រមាណ១៤ឆ្នាំ ហើយថ្ងៃនោះជាថ្ងៃសិក្សា អ្នកដទៃនៅពេលឃើញទិដ្ឋភាពបែបហ្នឹង មើលឃើញជាក្រុមក្មេងពាល ក្រុមវ៉ៃតប់ ក្រុមឧក្រិដ្ឋជន ប៉ុន្តែខ្ញុំឃើញរូបភាពខុសពីហ្នឹង ខ្ញុំឃើញក្មេងៗទាំងនេះតាមរបៀបមួយ ដែលពួកគេអាចនាំនូវតំលៃដល់ប្រព័ន្ធអប់រំ តើអ្នកនឹងចូលរួមជាមួយខ្ញុំប្តូររបៀបយើងដាក់ងារក្មេងៗ ពី “បង្កគ្រោះថ្នាក់” ទៅ “ពេញដោយសក្ដានុពល” ?
How do I know that these young people have the potential and the promise to change? I know this because I am one of them. You see, I grew up in dire poverty in the inner city, without a father -- he abandoned me before I was even born. We were on welfare, sometimes homeless, many times hungry. By the time I was 15 years old, I had been incarcerated in juvy three times for three felonies. My best friend had already been killed. And soon after, while I'm standing next to my uncle, he gets shot. And as I'm waiting for the ambulance to arrive for over an hour ... he bleeds to death on the street. I had lost faith and hope in the world, and I had given up on the system because the system had failed me. I had nothing to offer and no one had anything to offer me. I was fatalistic. I didn't even think I could make it to my 18th birthday.	តើខ្ញុំដឹងដោយរបៀបណាថាក្មេងៗទាំងនេះ មានសក្តានុពល និងតាំងចិត្តផ្លាស់ប្តូរ? ខ្ញុំដឹងព្រោះខ្ញុំជាម្នាក់ក្នុងចំណោមនោះ ដឹងទេ ខ្ញុំធំឡើងក្នុងទីក្រុងជាមួយភាពក្រីក្រ ដោយគ្មានឪពុក គាត់បោះបង់ខ្ញុំតាំងពីខ្ញុំមិនទាន់កើតម្ល៉េះ យើងរស់នៅដោយពិឹងលើជំនួយ ពេលខ្លះគ្មានជំរក អត់ឃ្លានជាច្រើនលើកច្រើនគ្រា ពេលខ្ញុំអាយុ១៥ឆ្នាំ ខ្ញុំត្រូវបានគេចាប់ដាក់ឃុំ៣ដង ពីបទល្មើស៣ មិត្តល្អបំផុតរបស់ខ្ញុំត្រូវបានគេសំលាប់ ហើយមិនយូរប៉ុន្មាន ខណៈដែលខ្ញុំកំពុងឈរក្បែរពូខ្ញុំ គាត់ត្រូវបានគេបាញ់ ខណះកំពុងរង់ចាំរថយន្តសង្គ្រោះ ជាងមួយម៉ោង គាត់ហូរឈាមច្រើន ស្លាប់លើចញ្ចើមផ្លូវ ខ្ញុំបានបាត់បង់ជំនឿចិត្ត និងក្តីសង្ឃឹមក្នុងលោក ហើយខ្ញុំឈប់ជឿអ្វីទាំងអស់ ព្រោះសង្គមនេះធ្វើអោយខ្ញុំបរាជ័យ។ ខ្ញុំគ្មានអ្វីផ្តល់អោយនរណាម្នាក់ ហើយគ្មាននរណាម្នាក់ផ្តល់អ្វីៗអោយខ្ញុំដែរ។ ខ្ញុំជឿថានេះជាវាសនារបស់ខ្ញុំ ខ្ញុំគិតថាខ្ញុំនឹងគ្មានជីវិតរស់ដល់អាយុ១៨ឆ្នាំផង
The reason I'm here today is because a teacher that cared reached out and managed to tap into my soul. This teacher, Ms. Russ ... she was the kind of teacher that was always in your business.	មូលហេតុខ្ញុំមកទីនេះថ្ងៃនេះ គឺព្រោះតែគ្រូបង្រៀនម្នាក់ដែលយកចិត្តទុកដាក់នឹងខ្ញុំ និងជួយដាស់សតិខ្ញុំរហូតមក គ្រូបង្រៀនម្នាក់នេះ គឺអ្នកស្រី រូស គាត់គឺជាគ្រូម្នាក់ដែលចូលចិត្តឈឺឆ្អាលរឿងកូនសិស្ស
She was the kind of teacher that was like, "Victor, I'm here for you whenever you're ready."	គាត់គឺជាគ្រូដែលតែងតែនិយាយថា៖ វិចទ័រ ខ្ញុំនៅទីនេះ ពេលណាទើបអ្នកត្រូវការខ្ញុំ...
I wasn't ready. But she understood one basic principle about young people like me. We're like oysters. We're only going to open up when we're ready, and if you're not there when we're ready, we're going to clam back up. Ms. Russ was there for me. She was culturally relevant, she respected my community, my people, my family. I told her a story about my Uncle Ruben. He would take me to work with him because I was broke, and he knew I needed some money. He collected glass bottles for a living. Four in the morning on a school day, we'd throw the glass bottles in the back of his van, and the bottles would break. And my hands and arms would start to bleed and my tennis shoes and pants would get all bloody. And I was terrified and in pain, and I would stop working. And my uncle, he would look me in the eyes and he would say to me, "Mijo, estamos buscando vida." "We're searching for a better life, we're trying to make something out of nothing."	តែខ្ញុំមិនទាន់ត្រៀមខ្លួនរួច ប៉ុន្តែគាត់យល់ពីគោលការណ៍គ្រឹះមួយអំពីក្មេងដូចខ្ញុំ ពួកយើងគឺដូចជាអ័យស្ទ័រអញ្ចឹង យើងបើកគំរបឡើង នៅពេលយើងត្រៀមខ្លួនរួចប៉ុណ្ណោះ ហើយប្រសិនបើអ្នកមិននៅទីនោះក្បែរយើងទេ យើងនឹងបិទគំរបរបស់យើងវិញភ្លាម អ្នកស្រី រូស នៅទីនោះក្បែរខ្ញុំ គាត់ដាក់ខ្ឡួនចូលជិតពួកយើង គាត់គោរពសហគមន៍ខ្ញុំ សាច់ញាតិខ្ញុំ និងក្រុមគ្រួសារខ្ញុំ ខ្ញុំប្រាប់គាត់ពីរឿងលោកពូ​ រ៉ូបេន គាត់យកខ្ញុំទៅធ្វើការជាមួយគាត់ព្រោះខ្ញុំគ្មានលុយ ហើយគាត់ដឹងច្បាស់ថាខ្ញុំត្រូវការលុយចាយ គាត់រើសអេតចាយសំរាប់ចិញ្ចឹមជីវិត ម៉ោង៤ភ្លឺមុនទៅសាលា ខ្ញុំជញ្ជូនសំបកដបបោះចូលឡានគាត់ ធ្វើអោយសំបកដបបែក មុតដៃហូរឈាម ជោគខោនិងស្បែកជើងកីឡារបស់ខ្ញុំ ខ្ញុំតក់ស្លុត ឈឺយ៉ាងខ្លាំង ក៏សំរាក ពូសម្លឹងមុខខ្ញុំ ហើយគាត់និយាយថា "Mijo, estamos buscando vida." "ពួកយើងកំពុងស្វែងរកជីវិតដ៏ប្រសើរមួយ យើងកំពុងព្យាយាមបងើ្កតអ្វីៗ ពីបាតដៃទទេ"។
Ms. Russ listened to my story, welcomed it into the classroom and said, "Victor, this is your power. This is your potential. Your family, your culture, your community have taught you a hard-work ethic and you will use it to empower yourself in the academic world so you can come back and empower your community."	អ្នកស្រី រូស ស្តាប់រឿងខ្ញុំ ចង់អោយខ្ញុំនិយាយរឿងនេះក្នុងថ្នាក់ ហើយគាត់​និយាយថា “វិចទ័រ នេះគឺជាអំណាចរបស់អ្នក នេះជាសក្កានុពលរបស់អ្នក គ្រួសារ វប្បធម៍ សហគមន៍ បានបង្រៀននិងលុតដំអ្នកអោយចេះតស៊ូ អ្នកនឹងប្រើវាជាប្រយោជន៍ក្នុងការរៀនសូត្រ ដើម្បីអាចត្រឡប់មកជួយអភិវឌ្ឍន៍សហគមន៍របស់អ្នក។”
With Ms. Russ's help, I ended up returning to school. I even finished my credits on time and graduated with my class.	ជាមួយការជួយរបស់អ្នកស្រី រូស ខ្ញុំត្រឡប់មកចូលរៀនវិញ។ លទ្ធផលរៀនក៏បានល្អ ហើយខ្ញុំបានបញ្ចប់ការសិក្សាដូចគេឯង។
But Ms. Russ said to me right before graduation, "Victor, I'm so proud of you. I knew you could do it. Now it's time to go to college."	ប៉ុន្តែអ្នកស្រី រូស និយាយមកខ្ញុំមុនថ្ងៃបិទវគ្គថា វិចទ័រអ្នកគ្រូមានមោទនភាពចំពោះកូនណាស់ អ្នកគ្រូដឹងច្បាស់ថាកូនអាចធ្វើបាន ឥឡូវដល់ពេលចូលរៀនមហាវិទ្យាល័យហើយ
College, me? Man, what is this teacher smoking thinking I'm going to college? I applied with the mentors and support she provided, got a letter of acceptance, and one of the paragraphs read, "You've been admitted under probationary status." I said, "Probation? I'm already on probation, that don't matter?"	មហាវិទ្យាល័យ? ខ្ញុំហ្នឹង? អូយ អ្នកគ្រូនិយាយស្អីហ្នឹង ខ្ញុំហ្នឹងចូលរៀនមហាវិទ្យាល័យ? ក្រោយមកខ្ញុំបានដាក់ពាក្យចូលរៀន ដោយមានការណែនាំ និងជ្រំុជ្រែងពីគាត់ ខ្ញុំទទួលបានលិខិតអនុញ្ញាតិអោយចូលរៀន ប៉ុន្តែឋិតក្រោមលក្ខខ័ណ្ឌមួយសរសេរថា "អ្នកត្រូវបានអនុញ្ញាតិអោយចូលរៀនសាកល្បងសិន។" “ស្អីគេ... សាកល្បងសិន”? ខ្ញុំកំពុងតែសាកល្បងស្រាប់ហើយហ្នឹង គ្មានបញ្ហា?"
